scraped_org_name,source_type,source_name,role,source_url,verified_nonprofit,propublica_ein,propublica_org_name
Benton Community Foundation (OR),trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Berks County Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Betterworld Trust,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"The Beveridge Family Foundation, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Billings Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Bingham, Osborn & Scarborough",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Binnacle House,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Black Family Philanthropies, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Black Hills Area Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Black Mountain - Swannanoa Valley Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Black River Falls Area Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Blackfeet Community Endowment Fund,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Blaine County Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Arthur M. Blank Family Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Florida Blue Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Blue Cross of Idaho Foundation for Health, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Blue Grass Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Blue Shield of California Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Bodman PLC,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Bonfils-Stanton Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
